model_name,n_processes,repeat,execution_time_ms,total_parallel_time_ms,baseline_time_ms,speedup_factor,parallel_efficiency,scaling_type
Legacy Markov,12,2,256.2417388,3074.900866,122.7171421,0.478911604,0.0399093,task_parallel
Legacy Markov,12,3,227.003932,2724.047184,122.7171421,0.540594786,0.045049566,task_parallel
Legacy Markov,12,4,228.8057605,2745.669127,122.7171421,0.536337642,0.044694804,task_parallel
CTBN Markov,1,0,907.0148468,907.0148468,50.82082748,0.056030866,0.056030866,task_parallel
CTBN Markov,1,1,824.1882324,824.1882324,50.82082748,0.061661676,0.061661676,task_parallel
CTBN Markov,1,2,777.9130936,777.9130936,50.82082748,0.065329698,0.065329698,task_parallel
CTBN Markov,1,3,751.5189648,751.5189648,50.82082748,0.067624145,0.067624145,task_parallel
CTBN Markov,1,4,797.4257469,797.4257469,50.82082748,0.063731109,0.063731109,task_parallel
CTBN Markov,2,0,428.3624887,856.7249775,50.82082748,0.118639771,0.059319885,task_parallel
CTBN Markov,2,1,420.7129478,841.4258957,50.82082748,0.120796918,0.060398459,task_parallel
CTBN Markov,2,2,432.082057,864.164114,50.82082748,0.117618463,0.058809232,task_parallel
CTBN Markov,2,3,414.837122,829.6742439,50.82082748,0.122507907,0.061253953,task_parallel
CTBN Markov,2,4,401.9994736,803.9989471,50.82082748,0.126420134,0.063210067,task_parallel
CTBN Markov,3,0,321.2203185,963.6609554,50.82082748,0.158211746,0.052737249,task_parallel
CTBN Markov,3,1,360.4999383,1081.499815,50.82082748,0.140973193,0.046991064,task_parallel
CTBN Markov,3,2,471.0613092,1413.183928,50.82082748,0.107885803,0.035961934,task_parallel
CTBN Markov,3,3,560.5649948,1681.694984,50.82082748,0.090660009,0.030220003,task_parallel
CTBN Markov,3,4,541.712443,1625.137329,50.82082748,0.093815138,0.031271713,task_parallel
CTBN Markov,4,0,380.179286,1520.717144,50.82082748,0.133675951,0.033418988,task_parallel
CTBN Markov,4,1,456.0892582,1824.357033,50.82082748,0.111427372,0.027856843,task_parallel
CTBN Markov,4,2,369.078815,1476.31526,50.82082748,0.137696409,0.034424102,task_parallel
CTBN Markov,4,3,336.1715078,1344.686031,50.82082748,0.151175297,0.037793824,task_parallel
CTBN Markov,4,4,330.9820294,1323.928118,50.82082748,0.153545579,0.038386395,task_parallel
CTBN Markov,5,0,272.0279694,1360.139847,50.82082748,0.186822067,0.037364413,task_parallel
CTBN Markov,5,1,347.0020294,1735.010147,50.82082748,0.14645686,0.029291372,task_parallel
CTBN Markov,5,2,562.2404099,2811.202049,50.82082748,0.090389852,0.01807797,task_parallel
CTBN Markov,5,3,407.1298122,2035.649061,50.82082748,0.124827085,0.024965417,task_parallel
CTBN Markov,5,4,457.187748,2285.93874,50.82082748,0.111159644,0.022231929,task_parallel
CTBN Markov,6,0,590.3598468,3542.159081,50.82082748,0.086084492,0.014347415,task_parallel
CTBN Markov,6,1,708.5063457,4251.038074,50.82082748,0.07172953,0.011954922,task_parallel
CTBN Markov,6,2,452.8158108,2716.894865,50.82082748,0.112232891,0.018705482,task_parallel
CTBN Markov,6,3,452.4773359,2714.864016,50.82082748,0.112316846,0.018719474,task_parallel
CTBN Markov,6,4,480.2777767,2881.66666,50.82082748,0.105815488,0.017635915,task_parallel
CTBN Markov,7,0,483.0037185,3381.02603,50.82082748,0.105218294,0.015031185,task_parallel
CTBN Markov,7,1,888.1201403,6216.840982,50.82082748,0.05722292,0.008174703,task_parallel
CTBN Markov,7,2,1884.051119,13188.35783,50.82082748,0.02697423,0.003853461,task_parallel
CTBN Markov,7,3,558.9859826,3912.901878,50.82082748,0.090916104,0.012988015,task_parallel
CTBN Markov,7,4,712.3269694,4986.288786,50.82082748,0.071344803,0.010192115,task_parallel
CTBN Markov,8,0,610.5336249,4884.268999,50.82082748,0.083240014,0.010405002,task_parallel
CTBN Markov,8,1,404.5286179,3236.228943,50.82082748,0.125629746,0.015703718,task_parallel
CTBN Markov,8,2,208.4466219,1667.572975,50.82082748,0.243807393,0.030475924,task_parallel
CTBN Markov,8,3,209.520638,1676.165104,50.82082748,0.242557621,0.030319703,task_parallel
CTBN Markov,8,4,332.880348,2663.042784,50.82082748,0.152669954,0.019083744,task_parallel
CTBN Markov,9,0,161.2606578,1451.345921,50.82082748,0.315147093,0.035016344,task_parallel
CTBN Markov,9,1,175.9348975,1583.414078,50.82082748,0.288861552,0.032095728,task_parallel
CTBN Markov,9,2,197.9189979,1781.270981,50.82082748,0.256775893,0.028530655,task_parallel
CTBN Markov,9,3,249.3942314,2244.548082,50.82082748,0.203777077,0.022641897,task_parallel
CTBN Markov,9,4,152.4483098,1372.034788,50.82082748,0.333364322,0.03704048,task_parallel
CTBN Markov,10,0,154.9461126,1549.461126,50.82082748,0.327990336,0.032799034,task_parallel
CTBN Markov,10,1,149.0940809,1490.940809,50.82082748,0.340864152,0.034086415,task_parallel
CTBN Markov,10,2,143.0299997,1430.299997,50.82082748,0.355315861,0.035531586,task_parallel
CTBN Markov,10,3,163.3131027,1633.131027,50.82082748,0.311186467,0.031118647,task_parallel
CTBN Markov,10,4,176.7776012,1767.776012,50.82082748,0.287484541,0.028748454,task_parallel
CTBN Markov,11,0,144.9051987,1593.957186,50.82082748,0.350717765,0.031883433,task_parallel
CTBN Markov,11,1,140.1690136,1541.85915,50.82082748,0.362568204,0.032960746,task_parallel
CTBN Markov,11,2,154.1539106,1695.693016,50.82082748,0.329675889,0.029970535,task_parallel
CTBN Markov,11,3,1095.854001,12054.39401,50.82082748,0.046375546,0.004215959,task_parallel
CTBN Markov,11,4,,,50.82082748,,,task_parallel
CTBN Markov,12,0,,,50.82082748,,,task_parallel
CTBN Markov,12,1,,,50.82082748,,,task_parallel
CTBN Markov,12,2,,,50.82082748,,,task_parallel
CTBN Markov,12,3,,,50.82082748,,,task_parallel
CTBN Markov,12,4,,,50.82082748,,,task_parallel
Anticonvulsant Legacy Markov,1,0,1226.6891,1226.6891,494.6279526,0.403221935,0.403221935,task_parallel
Anticonvulsant Legacy Markov,1,1,1856.06885,1856.06885,494.6279526,0.266492244,0.266492244,task_parallel
Anticonvulsant Legacy Markov,1,2,4209.060192,4209.060192,494.6279526,0.117515058,0.117515058,task_parallel
Anticonvulsant Legacy Markov,1,3,3756.567001,3756.567001,494.6279526,0.131670206,0.131670206,task_parallel
Anticonvulsant Legacy Markov,1,4,3288.720131,3288.720131,494.6279526,0.150401352,0.150401352,task_parallel
Anticonvulsant Legacy Markov,2,0,1293.231487,2586.462975,494.6279526,0.382474412,0.191237206,task_parallel
Anticonvulsant Legacy Markov,2,1,1313.335061,2626.670122,494.6279526,0.376619773,0.188309887,task_parallel
Anticonvulsant Legacy Markov,2,2,995.5350161,1991.070032,494.6279526,0.496846364,0.248423182,task_parallel
Anticonvulsant Legacy Markov,2,3,1441.142082,2882.284164,494.6279526,0.343219422,0.171609711,task_parallel
Anticonvulsant Legacy Markov,2,4,1122.452974,2244.905949,494.6279526,0.440666971,0.220333486,task_parallel
Anticonvulsant Legacy Markov,3,0,737.5997702,2212.799311,494.6279526,0.670591251,0.223530417,task_parallel
Anticonvulsant Legacy Markov,3,1,834.9826336,2504.947901,494.6279526,0.592381126,0.197460375,task_parallel
Anticonvulsant Legacy Markov,3,2,785.6919765,2357.07593,494.6279526,0.62954436,0.20984812,task_parallel
Anticonvulsant Legacy Markov,3,3,679.639101,2038.917303,494.6279526,0.727780305,0.242593435,task_parallel
Anticonvulsant Legacy Markov,3,4,800.3042539,2400.912762,494.6279526,0.618049886,0.206016629,task_parallel
Anticonvulsant Legacy Markov,4,0,677.3869991,2709.547997,494.6279526,0.73019995,0.182549987,task_parallel
Anticonvulsant Legacy Markov,4,1,795.9340215,3183.736086,494.6279526,0.62144341,0.155360853,task_parallel
Anticonvulsant Legacy Markov,4,2,1788.858235,7155.43294,494.6279526,0.276504836,0.069126209,task_parallel
Anticonvulsant Legacy Markov,4,3,864.7271991,3458.908796,494.6279526,0.57200462,0.143001155,task_parallel
Anticonvulsant Legacy Markov,4,4,913.9252901,3655.70116,494.6279526,0.541212677,0.135303169,task_parallel
Anticonvulsant Legacy Markov,5,0,1554.171038,7770.855188,494.6279526,0.318258377,0.063651675,task_parallel
Anticonvulsant Legacy Markov,5,1,983.0157757,4915.078878,494.6279526,0.503173972,0.100634794,task_parallel
Anticonvulsant Legacy Markov,5,2,1225.339365,6126.696825,494.6279526,0.403666092,0.080733218,task_parallel
Anticonvulsant Legacy Markov,5,3,1082.567358,5412.83679,494.6279526,0.456902703,0.091380541,task_parallel
