model_name,voltage,rate,delay
Markov,-70,0.09378665624848055,0.28942661247167517
Markov,-80,0.11980187285457335,0.24244620170823283
Markov,-90,0.3166342150256143,0.14251026703029993
Markov,-100,0.8068556631456392,0.0837677640068292
Markov,-110,1.576923628355198,0.05878016072274915
Markov,-120,2.4134845865993455,0.0345510729459222
Markov,-130,3.136181212492949,0.024244620170823284
Markov,-140,3.669542612257267,0.020309176209047358
Markov,-150,4.019391913864708,0.014251026703029985
Markov,-160,4.2322909991488284,0.01
Markov,-170,4.354018384773873,0.008376776400682925
Markov,-180,4.425693510504873,0.00701703828670383
Markov,-190,4.463479536850561,0.0058780160722749115
CTBN,-70,0.09378665631027645,0.28942661247167517
CTBN,-80,0.1198018729881787,0.24244620170823283
CTBN,-90,0.3166341922360761,0.14251026703029993
CTBN,-100,0.8068556237963901,0.0837677640068292
CTBN,-110,1.5769236294601283,0.05878016072274915
CTBN,-120,2.4134845871682957,0.0345510729459222
CTBN,-130,3.136181211918439,0.024244620170823284
CTBN,-140,3.6695426114046743,0.020309176209047358
CTBN,-150,4.019391890639822,0.014251026703029985
CTBN,-160,4.232290998492501,0.01
CTBN,-170,4.354018384449346,0.008376776400682925
CTBN,-180,4.4256935106774975,0.00701703828670383
CTBN,-190,4.463479536897503,0.0058780160722749115
Anti-Conv Markov,-70,0.09378665544449473,0.28942661247167517
Anti-Conv Markov,-80,0.11980187290467886,0.24244620170823283
Anti-Conv Markov,-90,0.31663419902591855,0.14251026703029993
Anti-Conv Markov,-100,0.8068556189740451,0.0837677640068292
Anti-Conv Markov,-110,1.5769236301430947,0.05878016072274915
Anti-Conv Markov,-120,2.4134845859868705,0.0345510729459222
Anti-Conv Markov,-130,3.136181212044229,0.024244620170823284
Anti-Conv Markov,-140,3.669542611622737,0.020309176209047358
Anti-Conv Markov,-150,4.019391913519838,0.014251026703029985
Anti-Conv Markov,-160,4.232290998881863,0.01
Anti-Conv Markov,-170,4.354018382628385,0.008376776400682925
Anti-Conv Markov,-180,4.425693510275092,0.00701703828670383
Anti-Conv Markov,-190,4.463479536844332,0.0058780160722749115
Anti-Conv CTBN,-70,0.09378665541544091,0.28942661247167517
Anti-Conv CTBN,-80,0.11980187290404927,0.24244620170823283
Anti-Conv CTBN,-90,0.3166342050442023,0.14251026703029993
Anti-Conv CTBN,-100,0.8068558414704737,0.0837677640068292
Anti-Conv CTBN,-110,1.5769236285815273,0.05878016072274915
Anti-Conv CTBN,-120,2.4134845858076357,0.0345510729459222
Anti-Conv CTBN,-130,3.1361812112209067,0.024244620170823284
Anti-Conv CTBN,-140,3.6695426128099675,0.020309176209047358
Anti-Conv CTBN,-150,4.019391892815137,0.014251026703029985
Anti-Conv CTBN,-160,4.232290998773239,0.01
Anti-Conv CTBN,-170,4.354018384017243,0.008376776400682925
Anti-Conv CTBN,-180,4.42569351060584,0.00701703828670383
Anti-Conv CTBN,-190,4.463479536942542,0.0058780160722749115
