model,model_name,repeat,execution_time_ms,peak_memory_mb,static_memory_kb,time_per_step_ms
legacy_markov,Anticonvulsant Legacy Markov,10,396.66177384034916,293.46875,3467.6328125,0.0066813785881482055
legacy_markov,Anticonvulsant Legacy Markov,11,413.4066780035227,274.9375,3467.6328125,0.006988761430166931
legacy_markov,Anticonvulsant Legacy Markov,12,431.7367825040677,290.984375,3467.6328125,0.007333729767092819
legacy_markov,Anticonvulsant Legacy Markov,13,430.58850387128524,278.875,3467.6328125,0.007259912631645582
legacy_markov,Anticonvulsant Legacy Markov,14,436.1951177259724,275.4375,3467.6328125,0.007356284924083111
legacy_markov,Anticonvulsant Legacy Markov,15,417.8607119524285,265.390625,3467.6328125,0.007114921924603318
legacy_markov,Anticonvulsant Legacy Markov,16,416.1577556666133,267.59375,3467.6328125,0.007000814423783855
legacy_markov,Anticonvulsant Legacy Markov,17,429.60563178958614,261.984375,3467.6328125,0.007273837179915875
legacy_markov,Anticonvulsant Legacy Markov,18,401.3911280439643,287.984375,3467.6328125,0.006754627502118943
legacy_markov,Anticonvulsant Legacy Markov,19,432.39899837550774,277.6875,3467.6328125,0.007295727046625988
legacy_markov,Anticonvulsant Legacy Markov,20,415.5698864784906,282.25,3467.6328125,0.007064839530789895
legacy_markov,Anticonvulsant Legacy Markov,21,406.625137914176,288.6875,3467.6328125,0.0068951399881541
legacy_markov,Anticonvulsant Legacy Markov,22,416.77611668051446,270.65625,3467.6328125,0.0070912791428887735
legacy_markov,Anticonvulsant Legacy Markov,23,392.82426490543594,279.546875,3467.6328125,0.006638924894057756
legacy_markov,Anticonvulsant Legacy Markov,24,404.2656158354892,263.828125,3467.6328125,0.006803937886733521
legacy_markov,Anticonvulsant Legacy Markov,25,399.9884391435173,283.25,3467.6328125,0.006743154083054973
legacy_markov,Anticonvulsant Legacy Markov,26,394.91301137005445,265.25,3467.6328125,0.006640744792213262
legacy_markov,Anticonvulsant Legacy Markov,27,422.7711635852691,265.78125,3467.6328125,0.0071537664756891805
legacy_markov,Anticonvulsant Legacy Markov,28,409.66953347622325,292.9375,3467.6328125,0.006886259044098299
legacy_markov,Anticonvulsant Legacy Markov,29,403.96556910242697,281.75,3467.6328125,0.006792461629400437
ctbn_stiff,Anticonvulsant CTBN Markov,0,105.69904688029773,335.703125,3490.140625,0.0017934449197153798
ctbn_stiff,Anticonvulsant CTBN Markov,1,100.66075394466098,323.546875,3490.140625,0.0017177641767682896
ctbn_stiff,Anticonvulsant CTBN Markov,2,98.53507178806551,350.390625,3490.140625,0.0016657648159956844
ctbn_stiff,Anticonvulsant CTBN Markov,3,94.13622011987815,343.46875,3490.140625,0.0015783722393790999
ctbn_stiff,Anticonvulsant CTBN Markov,4,87.83305132680692,340.296875,3490.140625,0.0014808930219873475
ctbn_stiff,Anticonvulsant CTBN Markov,5,112.11980490869311,321.828125,3490.140625,0.0019398666820446152
ctbn_stiff,Anticonvulsant CTBN Markov,6,103.34727838467582,332.34375,3490.140625,0.0017659437949680934
ctbn_stiff,Anticonvulsant CTBN Markov,7,104.31436342886741,316.4375,3490.140625,0.0017564225374003138
ctbn_stiff,Anticonvulsant CTBN Markov,8,90.38307036077113,306.828125,3490.140625,0.0015193913042413766
ctbn_stiff,Anticonvulsant CTBN Markov,9,101.18339965707256,326.21875,3490.140625,0.001723364081729009
ctbn_stiff,Anticonvulsant CTBN Markov,10,92.09313487384205,331.96875,3490.140625,0.00157485165037085
ctbn_stiff,Anticonvulsant CTBN Markov,11,92.88224472472305,351.203125,3490.140625,0.0015552216135288185
ctbn_stiff,Anticonvulsant CTBN Markov,12,93.99942691656187,326.203125,3490.140625,0.001574336220699858
ctbn_stiff,Anticonvulsant CTBN Markov,13,104.62772216080208,333.21875,3490.140625,0.0018227040683514999
ctbn_stiff,Anticonvulsant CTBN Markov,14,104.42003347302708,325.046875,3490.140625,0.0017813130222171032
ctbn_stiff,Anticonvulsant CTBN Markov,15,102.99842603437692,332.265625,3490.140625,0.0017699151011115496
ctbn_stiff,Anticonvulsant CTBN Markov,16,91.29799564127184,330.546875,3490.140625,0.0015427008731620075
ctbn_stiff,Anticonvulsant CTBN Markov,17,95.01071715083476,335.34375,3490.140625,0.0016362564673314086
ctbn_stiff,Anticonvulsant CTBN Markov,18,97.77710417248295,343.953125,3490.140625,0.0016507844316152093
ctbn_stiff,Anticonvulsant CTBN Markov,19,101.38789330610575,321.671875,3490.140625,0.0016929384044872852
ctbn_stiff,Anticonvulsant CTBN Markov,20,95.84655709406297,323.21875,3490.140625,0.001643151190661657
ctbn_stiff,Anticonvulsant CTBN Markov,21,101.10636828432762,345.046875,3490.140625,0.0017305948561222825
ctbn_stiff,Anticonvulsant CTBN Markov,22,100.55894640427289,331.015625,3490.140625,0.0017014174496366283
ctbn_stiff,Anticonvulsant CTBN Markov,23,95.31895785712763,351.171875,3490.140625,0.0016005345799240984
ctbn_stiff,Anticonvulsant CTBN Markov,24,93.15162184472081,356.03125,3490.140625,0.0015855104861992768
ctbn_stiff,Anticonvulsant CTBN Markov,25,93.39207711733923,334.140625,3490.140625,0.0015829588822663387
ctbn_stiff,Anticonvulsant CTBN Markov,26,94.57822719324524,335.953125,3490.140625,0.0016026229783377307
ctbn_stiff,Anticonvulsant CTBN Markov,27,95.33384295849018,344.046875,3490.140625,0.0016081383028788716
ctbn_stiff,Anticonvulsant CTBN Markov,28,89.08252380760236,346.234375,3490.140625,0.0015013682953713468
ctbn_stiff,Anticonvulsant CTBN Markov,29,94.20650770263126,342.546875,3490.140625,0.0016072595747613657
