model,model_name,n_processes,repeat,execution_time_ms,speedup_factor,parallel_efficiency,scaling_type
legacy_hh,Legacy HH,1,0,19.062042236328125,0.7368045827496498,0.7368045827496498,strong
legacy_hh,Legacy HH,1,1,14.632225036621094,0.9598676921071498,0.9598676921071498,strong
legacy_hh,Legacy HH,1,2,14.217853546142578,0.9878425059529798,0.9878425059529798,strong
legacy_hh,Legacy HH,1,3,14.624834060668945,0.9603527819892078,0.9603527819892078,strong
legacy_hh,Legacy HH,1,4,15.929222106933594,0.8817128659522242,0.8817128659522242,strong
legacy_hh,Legacy HH,2,0,13.757586479187012,1.0208912804249308,0.5104456402124654,strong
legacy_hh,Legacy HH,2,1,13.607501983642578,1.0321512422469075,0.5160756211234537,strong
legacy_hh,Legacy HH,2,2,13.498544692993164,1.0404825405796845,0.5202412702898422,strong
legacy_hh,Legacy HH,2,3,16.5024995803833,0.8510831954808463,0.42554159774042316,strong
legacy_hh,Legacy HH,2,4,14.343023300170898,0.9792217290845925,0.48961086454229624,strong
legacy_hh,Legacy HH,3,0,16.548951466878254,0.8486942574219388,0.28289808580731296,strong
legacy_hh,Legacy HH,3,1,14.062007268269857,0.9987905573044121,0.3329301857681374,strong
legacy_hh,Legacy HH,3,2,14.113664627075195,0.9951348885923273,0.33171162953077576,strong
legacy_hh,Legacy HH,3,3,13.950347900390625,1.0067849330051954,0.33559497766839846,strong
legacy_hh,Legacy HH,3,4,13.96791140238444,1.0055189835966705,0.3351729945322235,strong
legacy_hh,Legacy HH,4,0,14.885246753692627,0.9435517132297293,0.23588792830743233,strong
legacy_hh,Legacy HH,4,1,13.670504093170166,1.0273944530919588,0.2568486132729897,strong
legacy_hh,Legacy HH,4,2,14.088749885559082,0.9968946989888734,0.24922367474721835,strong
legacy_hh,Legacy HH,4,3,13.440549373626709,1.0449721723319807,0.2612430430829952,strong
legacy_hh,Legacy HH,4,4,13.285279273986816,1.0571851585984118,0.26429628964960294,strong
legacy_hh,Legacy HH,5,0,12.763214111328125,1.100428148723773,0.2200856297447546,strong
legacy_hh,Legacy HH,5,1,13.522815704345703,1.0386150623779065,0.20772301247558128,strong
legacy_hh,Legacy HH,5,2,13.167810440063477,1.0666162108137274,0.21332324216274548,strong
legacy_hh,Legacy HH,5,3,13.201427459716797,1.063900106193156,0.21278002123863118,strong
legacy_hh,Legacy HH,5,4,12.85099983215332,1.0929110777165545,0.2185822155433109,strong
legacy_hh,Legacy HH,6,0,13.064821561177572,1.0750242558252,0.17917070930419998,strong
legacy_hh,Legacy HH,6,1,13.381322224934896,1.0495973297857177,0.17493288829761963,strong
legacy_hh,Legacy HH,6,2,12.977123260498047,1.0822891787617124,0.18038152979361874,strong
legacy_hh,Legacy HH,6,3,13.022621472676596,1.0785078953390799,0.17975131588984664,strong
legacy_hh,Legacy HH,6,4,13.106862703959147,1.0715760432930619,0.1785960072155103,strong
legacy_hh,Legacy HH,7,0,12.944868632725306,1.0849859102306723,0.15499798717581031,strong
legacy_hh,Legacy HH,7,1,13.133151190621513,1.069431081119632,0.152775868731376,strong
legacy_hh,Legacy HH,7,2,13.33543232509068,1.0532092049140551,0.15045845784486503,strong
legacy_hh,Legacy HH,7,3,13.25430188860212,1.0596559663675518,0.15137942376679311,strong
legacy_hh,Legacy HH,7,4,18.31024033682687,0.7670571121912383,0.10957958745589118,strong
legacy_hh,Legacy HH,8,0,13.190627098083496,1.0647712176121318,0.13309640220151647,strong
legacy_hh,Legacy HH,8,1,13.144999742507935,1.068467124489597,0.1335583905611996,strong
legacy_hh,Legacy HH,8,2,13.188362121582031,1.0649540820015908,0.13311926025019885,strong
legacy_hh,Legacy HH,8,3,13.541251420974731,1.0372010414442887,0.1296501301805361,strong
legacy_hh,Legacy HH,8,4,13.009399175643921,1.0796040529365005,0.13495050661706257,strong
legacy_hh,Legacy HH,9,0,13.237555821736654,1.0609964758925836,0.11788849732139818,strong
legacy_hh,Legacy HH,9,1,12.841992908053928,1.0936776072727423,0.12151973414141581,strong
legacy_hh,Legacy HH,9,2,13.31178347269694,1.0550802681775036,0.1172311409086115,strong
legacy_hh,Legacy HH,9,3,13.236920038859049,1.061047436644072,0.11789415962711912,strong
legacy_hh,Legacy HH,9,4,13.15066549513075,1.0680067926215853,0.11866742140239836,strong
legacy_hh,Legacy HH,10,0,13.324809074401855,1.0540488796402825,0.10540488796402825,strong
legacy_hh,Legacy HH,10,1,13.812828063964844,1.01680843425068,0.101680843425068,strong
legacy_hh,Legacy HH,10,2,13.5361909866333,1.0375887936394428,0.10375887936394428,strong
legacy_hh,Legacy HH,10,3,13.195276260375977,1.064396061071461,0.10643960610714609,strong
legacy_hh,Legacy HH,10,4,13.49480152130127,1.0407711483658502,0.10407711483658502,strong
legacy_hh,Legacy HH,11,0,13.446352698586203,1.0445211717353424,0.0949564701577584,strong
legacy_hh,Legacy HH,11,1,13.381156054410068,1.0496103639464762,0.0954191239951342,strong
legacy_hh,Legacy HH,11,2,13.406818563287908,1.04760126423681,0.09523647856698272,strong
legacy_hh,Legacy HH,11,3,13.080987063321201,1.0736957393433877,0.0976087035766716,strong
legacy_hh,Legacy HH,11,4,14.725815166126598,0.9537672392222664,0.08670611265656968,strong
legacy_hh,Legacy HH,12,0,13.041178385416666,1.0769732351794072,0.08974776959828394,strong
legacy_hh,Legacy HH,12,1,12.594024340311686,1.1152114444735424,0.09293428703946187,strong
legacy_hh,Legacy HH,12,2,12.913088003794352,1.0876561882151654,0.09063801568459712,strong
