model_name,drug_type,concentration,shift_mv
Anti-Conv CTBN,LTG,3.2903445623126686,-1.4993195800146992
Anti-Conv CTBN,LTG,4.1753189365604015,-1.8334361436972415
Anti-Conv CTBN,LTG,5.298316906283709,-2.2264627844778033
Anti-Conv CTBN,LTG,6.7233575364993365,-2.6830558533797415
Anti-Conv CTBN,LTG,8.531678524172808,-3.206592635660897
Anti-Conv CTBN,LTG,10.826367338740546,-3.7988616442976593
Anti-Conv CTBN,LTG,13.73823795883263,-4.460070958665838
Anti-Conv CTBN,LTG,17.43328822199988,-5.1888841220161055
Anti-Conv CTBN,LTG,22.122162910704493,-5.982767380286148
Anti-Conv CTBN,LTG,28.072162039411772,-6.838373219541765
Anti-Conv CTBN,LTG,35.62247890262442,-7.752020035125824
Anti-Conv CTBN,LTG,45.20353656360243,-8.720129477954245
Anti-Conv CTBN,LTG,57.36152510448679,-9.73959930580392
Anti-Conv CTBN,LTG,72.7895384398315,-10.80809716680173
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv CTBN,LTG,117.21022975334806,-13.087750435754655
Anti-Conv CTBN,LTG,148.73521072935117,-14.29961601488553
Anti-Conv CTBN,LTG,188.73918221350976,-15.56208061343041
Anti-Conv CTBN,LTG,239.5026619987486,-16.878846362031823
Anti-Conv CTBN,LTG,303.9195382313198,-18.2552020357315
Anti-Conv CTBN,LTG,385.6620421163472,-19.698273434227787
Anti-Conv CTBN,LTG,489.3900918477494,-21.21737543411848
Anti-Conv CTBN,LTG,621.0169418915616,-22.824518445896032
Anti-Conv CTBN,LTG,788.0462815669912,-24.53523304362811
Anti-Conv CTBN,LTG,1000.0,-26.36962363245256
Anti-Conv Markov,DPH,1.0,-0.5075470554053965
Anti-Conv Markov,DPH,1.2689610031679222,-0.6352885743402084
Anti-Conv Markov,DPH,1.6102620275609394,-0.7926027326357143
Anti-Conv Markov,DPH,2.043359717856942,-0.9850292026994368
Anti-Conv Markov,DPH,2.592943797404667,-1.218541099221781
Anti-Conv Markov,DPH,3.2903445623126686,-1.4993195798905248
Anti-Conv Markov,DPH,4.1753189365604015,-1.8334361449206111
Anti-Conv Markov,DPH,5.298316906283709,-2.2264627869945883
Anti-Conv Markov,DPH,6.7233575364993365,-2.6830558546403864
Anti-Conv Markov,DPH,8.531678524172808,-3.2065926370226805
Anti-Conv Markov,DPH,10.826367338740546,-3.798861645065088
Anti-Conv Markov,DPH,13.73823795883263,-4.460070959395225
Anti-Conv Markov,DPH,17.43328822199988,-5.188884124127526
Anti-Conv Markov,DPH,22.122162910704493,-5.9827673812785775
Anti-Conv Markov,DPH,28.072162039411772,-6.838373220564236
Anti-Conv Markov,DPH,35.62247890262442,-7.7520200359662255
Anti-Conv Markov,DPH,45.20353656360243,-8.720129476998736
Anti-Conv Markov,DPH,57.36152510448679,-9.73959930595207
Anti-Conv Markov,DPH,72.7895384398315,-10.808097167064076
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv Markov,DPH,117.21022975334806,-13.087750434752335
Anti-Conv Markov,DPH,148.73521072935117,-14.299616016755252
Anti-Conv Markov,DPH,188.73918221350976,-15.562080612700058
Anti-Conv Markov,DPH,239.5026619987486,-16.87884636113705
Anti-Conv Markov,DPH,303.9195382313198,-18.255202037227377
Anti-Conv Markov,DPH,385.6620421163472,-19.6982734342906
Anti-Conv Markov,DPH,489.3900918477494,-21.217375429049294
Anti-Conv Markov,DPH,621.0169418915616,-22.82451844542733
Anti-Conv Markov,DPH,788.0462815669912,-24.53523304941797
Anti-Conv Markov,DPH,1000.0,-26.369623628747306
Anti-Conv CTBN,DPH,1.0,-0.5075470552735766
Anti-Conv CTBN,DPH,1.2689610031679222,-0.6352885747145223
Anti-Conv CTBN,DPH,1.6102620275609394,-0.792602731513611
Anti-Conv CTBN,DPH,2.043359717856942,-0.9850292003050924
Anti-Conv CTBN,DPH,2.592943797404667,-1.2185411000528603
Anti-Conv CTBN,DPH,3.2903445623126686,-1.4993195800146992
Anti-Conv CTBN,DPH,4.1753189365604015,-1.8334361436972415
Anti-Conv CTBN,DPH,5.298316906283709,-2.2264627844778033
Anti-Conv CTBN,DPH,6.7233575364993365,-2.6830558533797415
Anti-Conv CTBN,DPH,8.531678524172808,-3.2065926376565415
Anti-Conv CTBN,DPH,10.826367338740546,-3.7988616442976593
Anti-Conv CTBN,DPH,13.73823795883263,-4.460070958665838
Anti-Conv CTBN,DPH,17.43328822199988,-5.188884124188149
Anti-Conv CTBN,DPH,22.122162910704493,-5.982767380286148
Anti-Conv CTBN,DPH,28.072162039411772,-6.838373221204336
Anti-Conv CTBN,DPH,35.62247890262442,-7.752020034920676
Anti-Conv CTBN,DPH,45.20353656360243,-8.720129477954245
Anti-Conv CTBN,DPH,57.36152510448679,-9.73959930580392
Anti-Conv CTBN,DPH,72.7895384398315,-10.80809716669647
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv CTBN,DPH,117.21022975334806,-13.08775043509216
Anti-Conv CTBN,DPH,148.73521072935117,-14.29961601488553
Anti-Conv CTBN,DPH,188.73918221350976,-15.56208061343041
Anti-Conv CTBN,DPH,239.5026619987486,-16.878846362031823
Anti-Conv CTBN,DPH,303.9195382313198,-18.25520203751887
Anti-Conv CTBN,DPH,385.6620421163472,-19.698273434227502
Anti-Conv CTBN,DPH,489.3900918477494,-21.21737543067394
Anti-Conv CTBN,DPH,621.0169418915616,-22.824518445896032
Anti-Conv CTBN,DPH,788.0462815669912,-24.53523304344614
Anti-Conv CTBN,DPH,1000.0,-26.36962363245256
Anti-Conv Markov,CBZ,100.0,-7.793739332416081
Anti-Conv CTBN,CBZ,100.0,-7.793739331508519
Anti-Conv Markov,CBZ,200.0,-10.758128382932084
Anti-Conv CTBN,CBZ,200.0,-10.75812838348716
Anti-Conv Markov,LTG,100.0,-12.306785112882809
Anti-Conv CTBN,LTG,100.0,-12.306785111793658
Anti-Conv Markov,LTG,200.0,-15.877263798658433
Anti-Conv CTBN,LTG,200.0,-15.877263797537651
Anti-Conv Markov,DPH,100.0,-12.306785112882809
Anti-Conv CTBN,DPH,100.0,-12.30678511268529
Anti-Conv Markov,CBZ,30.0,-3.792448288593448
Anti-Conv CTBN,CBZ,30.0,-3.7924482867053086
Anti-Conv Markov,LTG,30.0,-7.0874564539434886
Anti-Conv CTBN,LTG,30.0,-7.087456452957412
Anti-Conv Markov,DPH,30.0,-7.0874564539434886
Anti-Conv CTBN,DPH,30.0,-7.087456452957412
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,DPH,92.3670857187386,-11.92423073744449
Anti-Conv Markov,CBZ,92.3670857187386,-7.482158591374414
Anti-Conv CTBN,CBZ,92.3670857187386,-7.482158592180198
Anti-Conv Markov,LTG,92.3670857187386,-11.924230736518638
Anti-Conv CTBN,LTG,92.3670857187386,-11.92423073744449
Anti-Conv Markov,DPH,92.3670857187386,-11.924230736518638
